amfi_code,CAGR,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
125497,0.1843448861052017,0.8031706841740262,0.1693956070701915,0.92,-0.1520001305560639,19.0,19.0,18.0,14.0,18.0,59.324894514767934
148568,0.1474803553358601,0.9808572928623184,0.2127569183139186,1.52,-0.1527259422823477,24.0,14.0,12.0,26.5,19.0,55.86497890295359
102885,0.1966726206830185,0.8591562082888825,0.1531783388254661,1.57,-0.1085986215250232,18.0,17.0,21.0,34.0,7.0,53.58649789029538
120503,0.1397838193370304,0.8324979529607998,0.1746610755140705,1.42,-0.1389786282306163,25.0,18.0,17.0,20.0,14.0,53.080168776371316
120507,0.0739428630036007,0.949606863457198,0.0671391149081536,0.74,-0.0009773140045925,29.0,16.0,32.0,7.0,1.0,51.56118143459914
120506,0.1842199653744454,0.6518694853832951,0.1685347810136198,1.41,-0.1982565826298267,20.0,22.0,19.0,19.0,27.0,49.53586497890294
119093,0.2081677117553586,0.0789598254178033,0.0760471490815726,0.75,-0.2175139637014822,16.0,29.0,28.0,8.0,31.0,45.822784810126564
120844,0.0669597162458699,0.3098572417855453,0.0643562447743932,0.6,-0.0011629327956168,30.0,27.0,33.0,3.0,2.0,42.27848101265822
102887,0.2555618790412652,0.6151987045243636,0.1479875659273583,1.64,-0.2153982711238322,13.0,23.0,23.0,39.5,30.0,41.68776371308016
149322,0.1804420648663613,0.4448787547303272,0.1402385129880474,1.54,-0.1484457691777174,21.0,25.0,24.0,30.5,16.0,40.50632911392403
125498,0.1124522286662141,0.2384894251052813,0.1105824210201672,0.78,-0.2111727956013211,26.0,28.0,26.0,10.0,29.0,37.552742616033754
120841,0.1726727508371786,0.4841968482758828,0.1241146453148362,1.59,-0.1757361416468729,22.0,24.0,25.0,35.0,24.0,34.68354430379746
118634,0.0800792772865608,0.3662994938598952,0.1784164284907739,1.53,-0.2334488614483311,27.0,26.0,16.0,28.5,32.0,34.59915611814346
119120,0.0584035879846309,-0.2087612301048495,0.0566543393327109,0.77,-0.0432872892397009,32.0,35.0,35.0,9.0,5.0,28.101265822784796
118636,0.0406220502377714,-0.3460792653158762,0.0496361464629756,0.55,-0.083163617636387,33.0,38.0,37.0,1.0,6.0,26.919831223628695
101208,0.063157844913755,-0.4576469906979711,0.0611829073164335,0.79,-0.0016224980244717,31.0,39.0,34.0,11.0,3.0,26.07594936708861
100025,0.0391638995710403,-0.5649120479357169,0.0447850921436322,0.56,-0.0430826382463634,34.0,40.0,38.0,2.0,4.0,23.71308016877637
120842,0.0775600355132728,-0.002602119129387,0.0746224161566469,1.56,-0.2400351132627488,28.0,31.0,29.0,33.0,33.0,17.974683544303794
119599,-0.0133738661448811,-0.1812389962510982,0.0514201923735877,0.72,-0.5257422117012851,38.0,33.0,36.0,5.5,40.0,12.995780590717304
119092,0.0052588712097574,-0.02634702020894,0.0727529812676566,1.64,-0.1440161790933726,36.0,32.0,30.0,39.5,15.0,11.139240506329129
101207,-0.0415238104485448,0.0443362255947234,0.1097796206322738,1.53,-0.3544691649336603,39.0,30.0,27.0,28.5,38.0,9.620253164556965
119095,-0.1170580672399527,-0.200892429609103,0.0679290310971783,1.38,-0.5167775370852656,40.0,34.0,31.0,17.0,39.0,8.016877637130802
100016,0.0129264934249562,-0.2722325274830715,0.0376331084013759,1.55,-0.247344408806733,35.0,36.0,39.0,32.0,34.0,0.08438818565400365
102886,-0.0076740631785472,-0.2962781536453646,0.0318987088173773,1.51,-0.2800112356639287,37.0,37.0,40.0,24.5,35.0,0.0
